Task,Start Date Time,Minutes On Task
Support,08-22-22 12:29 pm,62.07
Meeting,08-22-22 1:31 pm,72.7
Support,08-23-22 10:01 am,208.03
Support,08-24-22 6:56 am,405.12
Meeting,08-24-22 1:41 pm,55.55
